summary,track_name,artist_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,key,mode,danceability_percent,valence_percent,energy_percent,acousticness_percent,instrumentalness_percent,liveness_percent,speechiness_percent,cover_url
count,953,953,953,953,953,953,953,953,927,953,858,953,953,953,953,953,953,953,953,953
mean,Infinity,,1.5561385099685205,2018.2381951731375,6.033578174186778,13.930745015739769,5200.124868835257,12.009443861490032,4.588303763678533E8,67.8121720881427,,,66.96956977964324,51.43126967471144,64.2791185729276,27.057712486883524,1.5813221406086044,18.213011542497377,10.131164742917104,
stddev,NaN,,0.8930441928452751,11.116218075505934,3.566435132898138,9.201949303162996,7897.6089903751,19.57599163605572,4.57772123531377E8,86.44149293264272,,,14.630609874434812,23.48063183989132,16.550525977945224,25.996077310203724,8.409799926557696,13.7112233461488,9.912887609763247,
min,"""Apna Bana Le (From """"Bhediya"""")""",(G)I-DLE,1,1930,1,1,31,0,2762,0,A,Major,23,4,9,0,0,3,2,Not Found
max,ýýýýýýýýýýýýýýýýýýýýý,teto,8,2023,12,31,52898,147,2135158446,672,G#,Minor,96,97,97,97,91,97,64,https://i.scdn.co/image/ab67616d0000b273ff8a4276b3be31c839557439
